PING 202.112.35.231 (202.112.35.231) 56(84) bytes of data.
64 bytes from 202.112.35.231: icmp_seq=1 ttl=61 time=3.82 ms
64 bytes from 202.112.35.231: icmp_seq=2 ttl=61 time=13.0 ms
64 bytes from 202.112.35.231: icmp_seq=3 ttl=61 time=6.27 ms
64 bytes from 202.112.35.231: icmp_seq=4 ttl=61 time=6.28 ms
64 bytes from 202.112.35.231: icmp_seq=5 ttl=61 time=6.22 ms
64 bytes from 202.112.35.231: icmp_seq=6 ttl=61 time=12.5 ms
64 bytes from 202.112.35.231: icmp_seq=7 ttl=61 time=6.30 ms
64 bytes from 202.112.35.231: icmp_seq=8 ttl=61 time=6.18 ms
64 bytes from 202.112.35.231: icmp_seq=9 ttl=61 time=6.20 ms
64 bytes from 202.112.35.231: icmp_seq=10 ttl=61 time=6.21 ms
64 bytes from 202.112.35.231: icmp_seq=11 ttl=61 time=10.9 ms
64 bytes from 202.112.35.231: icmp_seq=12 ttl=61 time=6.24 ms
64 bytes from 202.112.35.231: icmp_seq=13 ttl=61 time=8.60 ms
64 bytes from 202.112.35.231: icmp_seq=14 ttl=61 time=7.84 ms
64 bytes from 202.112.35.231: icmp_seq=15 ttl=61 time=9.91 ms
64 bytes from 202.112.35.231: icmp_seq=16 ttl=61 time=6.24 ms
64 bytes from 202.112.35.231: icmp_seq=17 ttl=61 time=6.26 ms
64 bytes from 202.112.35.231: icmp_seq=18 ttl=61 time=6.27 ms
64 bytes from 202.112.35.231: icmp_seq=19 ttl=61 time=6.29 ms
64 bytes from 202.112.35.231: icmp_seq=20 ttl=61 time=8.15 ms
64 bytes from 202.112.35.231: icmp_seq=21 ttl=61 time=6.31 ms
64 bytes from 202.112.35.231: icmp_seq=22 ttl=61 time=6.88 ms
64 bytes from 202.112.35.231: icmp_seq=23 ttl=61 time=6.17 ms
64 bytes from 202.112.35.231: icmp_seq=24 ttl=61 time=7.05 ms
64 bytes from 202.112.35.231: icmp_seq=25 ttl=61 time=6.27 ms
64 bytes from 202.112.35.231: icmp_seq=26 ttl=61 time=1373 ms
64 bytes from 202.112.35.231: icmp_seq=27 ttl=61 time=370 ms
64 bytes from 202.112.35.231: icmp_seq=28 ttl=61 time=6.17 ms
64 bytes from 202.112.35.231: icmp_seq=29 ttl=61 time=6.35 ms
64 bytes from 202.112.35.231: icmp_seq=30 ttl=61 time=6.22 ms
64 bytes from 202.112.35.231: icmp_seq=31 ttl=61 time=7.13 ms
64 bytes from 202.112.35.231: icmp_seq=32 ttl=61 time=6.30 ms
64 bytes from 202.112.35.231: icmp_seq=33 ttl=61 time=8.18 ms
64 bytes from 202.112.35.231: icmp_seq=34 ttl=61 time=14.0 ms
64 bytes from 202.112.35.231: icmp_seq=35 ttl=61 time=6.30 ms
64 bytes from 202.112.35.231: icmp_seq=36 ttl=61 time=6.29 ms
64 bytes from 202.112.35.231: icmp_seq=37 ttl=61 time=6.27 ms
64 bytes from 202.112.35.231: icmp_seq=38 ttl=61 time=6.24 ms
